"","program","Monitoring.Location.ID","slope","tau","chi_square","z","n_values","mean","min","max","coefficient.of.variation"
"116","DEP","STL172",0.0031725,0.194444444444444,0.796744764171579,0.0516896949447691,72,0.0713839722222222,0.00583,0.3852,1.22301864182065
"117","DEP","STLMC1",NA,NA,NA,NA,1,0.1601,0.1601,0.1601,NA
"118","SFER","1",0.133333333333333,0.241509433962264,0.158293446436904,0.0554910239035372,54,2.18874074074074,0,7.606,0.752411102746165
"119","SFER","10",0.0174166666666667,0.0862745098039216,0.57063867845177,0.819408492362866,52,5.65840384615385,0,52.38,1.71428984610076
"120","SFER","11",0.075375,0.111111111111111,0.38020534341932,0.322601710721709,55,2.94847272727273,0,23.828,1.65036992201266
"121","SFER","12",0.163,0.495061728395062,0.946057296153269,7.81722726743655e-05,55,1.3192,0,13.356,1.50601267369404
"122","SFER","13",0.0158571428571428,0.0842767295597484,0.519579965709168,0.827109225092146,54,2.92607407407407,0,15.68,1.09540347843129
"123","SFER","14",0.0834444444444445,0.169753086419753,0.365951257644971,0.357168055506978,55,2.01945454545455,0,10.63,0.937480821122351
"124","SFER","15",0.13375,0.364814814814815,0.881993528547225,0.00877580613396241,55,1.36443636363636,0,17.914,1.75376375313139
"125","SFER","15.5",0.149111111111111,0.500641025641026,0.611082564701586,6.67787172089726e-05,53,0.976396226415094,0,5.888,1.02242975614032
"126","SFER","16",0.0406666666666668,0.0753086419753086,0.906247245446121,0.885725406296168,55,6.7504,0.544,46.499,1.23081194614684
"127","SFER","17",0.0153333333333333,0.104242424242424,0.480254940280157,0.672654792377184,56,2.43828571428571,0,14.426,0.91858879790562
"128","SFER","18",0.14125,0.373333333333333,0.640518535763306,0.00240133883402381,56,1.22364285714286,0,10.435,1.19983309720234
"129","SFER","19",-0.0558333333333333,-0.0533333333333333,0.144229621465339,0.573201320948135,56,3.31276785714286,0.476,17.501,0.921541730639091
"130","SFER","2",0.1305,0.287421383647799,0.323155220066539,0.0142612332095877,54,1.46864814814815,0,11.058,1.12211401548582
"131","SFER","20",0.1315,0.202424242424242,0.80201546238604,0.121335250358482,56,2.75821428571429,0,18.386,1.04927697049385
"132","SFER","21.25",NA,NA,NA,NA,1,1.51,1.51,1.51,NA
"133","SFER","21.5",0.168125,0.466037735849057,0.641168823817487,0.000427192799398323,54,1.0977962962963,0,7.771,1.2797772556224
"134","SFER","21LK",0.19245,0.373044217687075,0.696564311444837,0.00200400399607785,57,1.59338596491228,0,14.994,1.38204838605721
"135","SFER","22",0.152228571428571,0.354421768707483,0.923469868352444,0.00577941574616403,57,1.11528070175439,0,3.02,0.726207224465143
"136","SFER","22.5",0.122811111111111,0.348809523809524,0.253501841243235,0.0108304153192366,53,0.975358490566038,0,2.715,0.719785865938487
"137","SFER","23",0.00224999999999998,-0.0289115646258503,0.620059983588277,1,57,3.70524561403509,0,109.69,3.87258108376063
"138","SFER","24",0.0984047619047619,0.125255102040816,0.54841485566967,0.179168058773798,57,3.19275438596491,0,14.721,0.923620774874267
"139","SFER","3",0.19,0.518867924528302,0.894367625048497,4.41987276604413e-05,54,1.12825925925926,0,3.59,0.784531086281095
"140","SFER","30",0.191,0.317901234567901,0.682028333772535,0.0123590390810268,54,2.18309259259259,0,14.128,1.1653247474319
"141","SFER","30.5",0.255525,0.322222222222222,NA,0.0135572342204117,54,2.53131481481481,0,10.575,0.937452954922338
"142","SFER","31",0.226375,0.241212121212121,0.652952497203287,0.0599319403278906,55,2.68621818181818,0,11.201,0.986224722217152
"143","SFER","32",0.385666666666667,0.20952380952381,0.704598410279645,0.0684772691124382,56,8.36376785714286,0,29.808,0.800716363220874
"144","SFER","33",0.327714285714286,0.0464285714285714,0.311498309561192,0.262228101711532,56,12.87625,0,36.831,0.675608296900904
"145","SFER","34",0.706142857142857,0.267857142857143,0.517344245144273,0.0926249697955841,56,21.3022321428571,0.464,52.68,0.553586717236803
"146","SFER","39",0.706833333333333,0.0555555555555556,0.595787197586409,0.562370492107591,48,41.0807708333333,0,160.052,0.706546473689438
"147","SFER","4",0.125555555555556,0.32093023255814,0.944269110635341,0.0327204848315735,44,1.39493181818182,0,3.371,0.673572560682245
"148","SFER","40",1.53586666666667,0.302564102564103,0.917274136538137,0.0410569174350767,52,30.0278653846154,0,126.147,0.78166651516108
"149","SFER","41",0.779291666666666,0.175308641975309,0.0466038762699995,0.128968402413117,54,19.6956111111111,0,55.754,0.754247397000345
"150","SFER","42",0.14725,0.08,0.91510346278001,0.435910754595292,55,7.04092727272727,0,48.75,1.18772809537879
"151","SFER","45",0.10575,0.121212121212121,0.668664084210501,0.67316323757233,55,12.9582545454545,0.24,64.272,0.92227418600097
"152","SFER","46",0.290535714285714,0.069047619047619,0.590794728668175,0.944632298173748,56,16.5785178571429,0,50.345,0.660063529977843
"153","SFER","47",0.415875,0.101190476190476,0.38761386539929,0.834958246421988,56,21.6382857142857,1.338,61.5,0.651273086898974
"154","SFER","48",0.95875,0.12969696969697,0.370093060558713,0.152777945470135,55,24.2812545454545,0.04,76.248,0.655713868384345
"155","SFER","49",1.23005555555556,0.168553459119497,0.718918222615609,0.351467786443219,53,31.9257169811321,0,103.005,0.647173952088102
"156","SFER","5",0.133839285714286,0.410077519379845,0.943981476290076,0.0066056191380614,44,1.16575,0,10.058,1.3240906806449
"157","SFER","5.5",0.160375,0.416666666666667,0.980611925816739,0.00335156880885236,45,1.40562222222222,0,9.036,1.26892755891421
"158","SFER","50",-0.0608333333333334,-0.0444444444444444,0.60019672977781,0.883925748706867,54,12.2549259259259,0.1,35.858,0.709182288110311
"159","SFER","51",0.1088375,-0.00357142857142857,0.56304001700043,0.834958246421988,56,17.8929642857143,1.558,51.048,0.730425320736083
"160","SFER","52",0.6515,0.122012578616352,0.501698565857918,0.296269871484286,53,27.101358490566,3.292,68.954,0.637364906454218
"161","SFER","53",0.4774,0.0293333333333333,0.225326827170685,0.868977654364595,50,33.56472,1.816,94.427,0.679499161186687
"162","SFER","54",0.912375,0.15875350140056,0.285465227862498,0.214946955169527,68,33.3677205882353,1.177,102.151,0.646914447508366
"163","SFER","55",1.7726875,0.194285714285714,0.0656545850709533,0.03132413087789,70,27.9327571428571,5.204,74.473,0.682447884200887
"164","SFER","56",1.183,0.0835010060362173,0.215975593358894,0.137526470349492,71,24.2868873239437,1.582,76.576,0.711425237086865
"165","SFER","57",-0.0529999999999996,-0.0791666666666667,0.203230954622493,0.87915466908864,72,17.7079027777778,0,48.581,0.71940631479982
"166","SFER","57.1",0.37655,0.104298941798942,0.39879181801524,0.204035530753552,72,9.02905555555555,0,32.019,0.814989735991378
"167","SFER","57.2",0.238583333333333,0.293158953722334,0.258367130999278,0.00419930749346256,71,3.26969014084507,0,15.487,1.18742912849516
"168","SFER","57.3",0.167,0.203909026297086,0.272516140774716,0.126912779770225,67,3.04432835820896,0,11.734,0.991830396807434
"169","SFER","58",0.228375,0.318867924528302,0.93494585106426,0.0175883094179559,53,2.83541509433962,0,11.55,1.02583654595047
"170","SFER","59",0.256607142857143,0.29937106918239,0.590876277276961,0.0547086155864584,53,3.40679245283019,0,13.474,1.05321371059858
"171","SFER","6",0.141944444444444,0.46962962962963,0.737129174325648,0.00400769892391457,46,1.09045652173913,0,10.359,1.42249401081621
"172","SFER","6.5",0.169097222222222,0.531159420289855,0.873340371854243,0.000731481991814224,47,1.14110638297872,0,9.572,1.28192138745717
"173","SFER","60",-0.419791666666667,-0.11547619047619,0.36705466169972,0.350641555029667,56,7.15860714285714,0.26,30.599,0.894000072606056
"174","SFER","61",-0.550104166666667,-0.270238095238095,0.0987627520641744,0.0373352854127464,56,10.5288392857143,0,37.507,0.814028457473139
